,time,open,high,low,close,tick_volume,spread,real_volume
0,1451858400,120.196,120.381,120.195,120.313,4741,9,3269050000
1,1451865600,120.312,120.462,120.005,120.024,12781,9,11245391000
2,1451872800,120.023,120.04,119.643,119.682,15332,9,12835471000
3,1451880000,119.678,119.728,119.236,119.376,13015,9,9848870000
4,1451887200,119.377,119.468,118.902,118.97,13437,9,12303447000
5,1451894400,118.97,119.159,118.699,118.871,18958,9,19331583000
6,1451901600,118.871,119.067,118.713,118.79,13597,9,13631730000
7,1451908800,118.791,119.358,118.759,119.254,15147,9,16167790000
8,1451916000,119.255,119.355,119.002,119.29,21189,9,20026782000
9,1451923200,119.294,119.432,119.182,119.405,15825,9,16953650000
10,1451930400,119.405,119.497,119.288,119.292,9757,9,10084279000
11,1451937600,119.296,119.472,119.278,119.447,7728,9,9279367000
12,1451944800,119.429,119.467,119.281,119.466,6786,9,4423265000
13,1451952000,119.465,119.605,119.092,119.581,15925,9,13506905000
14,1451959200,119.578,119.698,119.472,119.52,9290,9,7244422000
15,1451966400,119.521,119.561,119.335,119.419,10756,9,10775799000
16,1451973600,119.419,119.577,119.299,119.419,11981,9,13517075000
17,1451980800,119.42,119.437,118.956,119.048,17611,9,20058660000
18,1451988000,119.047,119.161,118.825,118.948,13731,9,15439408000
19,1451995200,118.948,119.144,118.79,119.14,14999,9,17118266000
20,1452002400,119.14,119.273,118.944,119.146,20599,9,23116809000
21,1452009600,119.146,119.146,118.834,118.988,14392,9,16762658000
22,1452016800,118.986,119.045,118.851,118.979,9740,9,11727640000
23,1452024000,118.977,119.067,118.938,119.043,6113,9,7854781000
24,1452031200,119.039,119.166,119.022,119.107,6904,9,4131748000
25,1452038400,119.104,119.156,118.35,118.563,17875,9,11937594000
26,1452045600,118.563,118.67,118.381,118.65,17593,9,10095032000
27,1452052800,118.649,118.813,118.605,118.748,11370,9,7361845000
28,1452060000,118.747,118.792,118.557,118.732,11861,9,11017848000
29,1452067200,118.733,118.746,118.404,118.471,18992,9,23555656000
30,1452074400,118.472,118.525,118.247,118.396,15427,9,16505568000
31,1452081600,118.396,118.714,118.297,118.714,18035,9,19559505000
32,1452088800,118.714,118.765,118.519,118.649,21377,9,23334001000
33,1452096000,118.646,118.703,118.509,118.606,13090,9,15816758000
34,1452103200,118.606,118.685,118.347,118.351,15138,9,14559988000
35,1452110400,118.35,118.515,118.348,118.457,7850,9,8858991000
36,1452117600,118.454,118.645,118.443,118.619,5416,9,3135193000
37,1452124800,118.62,118.753,117.661,117.875,21945,9,14482325000
38,1452132000,117.88,118.237,117.819,118.206,17075,9,9732307000
39,1452139200,118.206,118.228,117.942,118.008,10411,9,6985093000
40,1452146400,118.007,118.189,117.836,118.018,15910,9,13366753000
41,1452153600,118.019,118.143,117.325,117.541,25618,9,22727135000
42,1452160800,117.546,117.687,117.462,117.503,16948,9,16395510000
43,1452168000,117.503,117.829,117.428,117.828,16046,9,16326234000
44,1452175200,117.828,118.271,117.768,118.076,25402,9,25004127000
45,1452182400,118.077,118.129,117.882,117.962,17303,9,18487697000
46,1452189600,117.964,117.967,117.445,117.462,15677,9,14984999000
47,1452196800,117.457,117.664,117.443,117.654,10359,9,12199566000
48,1452204000,117.645,117.677,117.497,117.527,7025,9,3600863000
49,1452211200,117.527,118.595,117.487,118.262,25618,9,14512829000
50,1452218400,118.264,118.353,118.14,118.249,14109,9,10504469000
51,1452225600,118.249,118.414,118.178,118.309,12264,9,9812739000
52,1452232800,118.309,118.56,118.218,118.235,11189,9,9838073000
53,1452240000,118.238,118.438,118.164,118.292,16332,9,19943110000
54,1452247200,118.294,118.343,118.196,118.253,13643,9,15979338000
55,1452254400,118.254,118.838,118.194,118.264,19444,9,20493212000
56,1452261600,118.266,118.331,117.68,117.68,30638,9,30763132000
57,1452268800,117.68,117.945,117.445,117.798,21858,9,23416519000
58,1452276000,117.798,117.849,117.621,117.644,12713,9,12435196000
59,1452283200,117.644,117.689,117.223,117.229,10824,9,9779937000
60,1452463200,117.097,117.171,116.691,117.055,11772,9,7734477000
61,1452470400,117.056,117.326,116.968,117.221,11827,9,7044974000
62,1452477600,117.215,117.431,117.186,117.366,10501,9,8028925000
63,1452484800,117.373,117.442,117.22,117.318,8519,9,6204300000
64,1452492000,117.32,117.388,117.092,117.313,15421,9,12047458000
65,1452499200,117.315,117.917,117.315,117.842,18866,9,18447357000
66,1452506400,117.842,117.849,117.528,117.658,14473,9,15607653000
67,1452513600,117.658,118.022,117.648,117.899,16445,9,18846257000
68,1452520800,117.902,117.97,117.31,117.383,23459,9,26835137000
69,1452528000,117.381,117.527,117.252,117.368,19299,9,22247258000
70,1452535200,117.374,117.556,117.189,117.49,15871,9,19449152000
71,1452542400,117.487,117.783,117.409,117.748,9579,9,11635050000
72,1452549600,117.735,117.818,117.592,117.68,6216,9,3247248000
73,1452556800,117.68,118.027,117.529,117.79,19041,9,13090224000
74,1452564000,117.791,117.791,117.416,117.507,13422,9,9713780000
75,1452571200,117.507,117.571,117.409,117.531,11776,9,10458330000
76,1452578400,117.533,117.533,117.223,117.396,14051,9,13091599000
77,1452585600,117.396,117.777,117.248,117.73,20056,9,21492494000
78,1452592800,117.73,117.847,117.666,117.712,16420,9,18764879000
79,1452600000,117.719,117.982,117.657,117.768,16952,9,20278476000
80,1452607200,117.769,118.068,117.635,117.952,23657,9,25023025000
81,1452614400,117.952,117.962,117.611,117.693,19960,9,21732988000
82,1452621600,117.693,117.783,117.379,117.609,18120,9,19486539000
83,1452628800,117.601,117.764,117.542,117.638,9099,9,10168826000
84,1452636000,117.614,117.868,117.614,117.831,8031,9,4889758000
85,1452643200,117.828,118.172,117.769,118.053,15702,9,11181028000
86,1452650400,118.05,118.353,118.05,118.235,12253,9,9209953000
87,1452657600,118.234,118.338,118.162,118.278,8720,9,6738149000
88,1452664800,118.279,118.303,118.017,118.218,12311,9,10268934000
89,1452672000,118.217,118.376,118.163,118.26,17844,9,20128572000
90,1452679200,118.26,118.333,118.132,118.144,12136,9,13433306000
91,1452686400,118.144,118.237,118.043,118.165,14185,9,16195999000
92,1452693600,118.165,118.351,118.028,118.334,22440,9,23090376000
93,1452700800,118.331,118.331,117.987,118.055,17759,9,20325914000
94,1452708000,118.056,118.116,117.688,117.762,17559,9,17797593000
95,1452715200,117.765,117.893,117.634,117.66,11562,9,13648084000
96,1452722400,117.658,117.674,117.369,117.413,9852,9,5904487000
97,1452729600,117.412,117.598,117.297,117.506,18824,9,13221788000
98,1452736800,117.506,117.623,117.414,117.485,11656,9,10134766000
99,1452744000,117.485,117.698,117.288,117.632,11873,9,10001213000
100,1452751200,117.633,118.175,117.605,118.095,14109,9,12201096000
101,1452758400,118.095,118.095,117.593,117.888,21005,9,22330247000
102,1452765600,117.889,117.924,117.521,117.635,18349,9,19553103000
103,1452772800,117.636,117.889,117.604,117.744,18132,9,18642912000
104,1452780000,117.742,118.172,117.43,118.059,25768,9,28536486000
105,1452787200,118.058,118.231,117.927,118.093,21077,9,22442149000
106,1452794400,118.093,118.275,118.081,118.15,14750,9,17349980000
107,1452801600,118.148,118.172,117.998,118.041,7293,9,9452967000
108,1452808800,118.044,118.267,118.025,118.221,7094,4,4041411000
109,1452816000,118.221,118.259,117.844,118.008,15626,9,12650089000
110,1452823200,118.008,118.047,117.827,117.859,11303,9,9929233000
111,1452830400,117.858,117.889,117.592,117.84,14483,9,11607352000
112,1452837600,117.84,117.928,117.559,117.628,13865,9,12594677000
113,1452844800,117.633,117.763,117.227,117.429,22856,9,24718658000
114,1452852000,117.428,117.49,117.261,117.377,16682,9,19183910000
115,1452859200,117.377,117.415,116.595,116.902,20352,9,22724828000
116,1452866400,116.903,117.172,116.775,116.887,28759,9,32065558000
117,1452873600,116.885,116.957,116.505,116.76,21550,9,23394066000
118,1452880800,116.759,117.038,116.62,117.017,16147,9,18029735000
119,1452888000,117.014,117.068,116.874,116.997,9692,9,9015623000
120,1453068000,116.65,117.05,116.65,116.999,6741,9,3917887000
121,1453075200,117.005,117.356,116.921,117.261,21892,9,18007943000
